kode_aturan,BARIS_ASLI,TGL,KODE,NAMA_BARANG,QTY,SATUAN_K,HARGA,JUMLAH,PELANGGAN,SKOR_ANOMALI,kategori,tingkat,deskripsi,tindakan,saran
A01,41,2020-04-02,MIT-010,MITRAKU FISH ROLL 250 GR X 25 PACK,13.0,PACK,13000.0,155480.0,RAISYA FROZEN,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,42,2020-04-02,MIT-009,MITRAKU FISH ROLL 500 GR X 20 PACK,6.0,PACK,23400.0,129168.0,RAISYA FROZEN,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,43,2020-04-02,MIT-011,MITRAKU FISH ROLL 1000 GR X 10 PACK,4.0,PACK,46000.0,169280.0,RAISYA FROZEN,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,50,2020-04-02,MIT-016,MITRAKU FISH CAKE SINGAPORE 1000 GR X 10,6.0,PACK,52000.0,287040.0,RAISYA FROZEN,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,57,2020-04-02,MIT-004,MITRAKU BAKSO PILUS IKAN 400GR X 23 PACK,10.0,PACK,14900.0,141550.0,MAJU JAYA,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,58,2020-04-02,MIT-009,MITRAKU FISH ROLL 500 GR X 20 PACK,10.0,PACK,23400.0,222300.0,MAJU JAYA,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,59,2020-04-02,MIT-010,MITRAKU FISH ROLL 250 GR X 25 PACK,5.0,PACK,13000.0,61750.0,MAJU JAYA,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,395,2020-04-11,MIT-016,MITRAKU FISH CAKE SINGAPORE 1000 GR X 10,5.0,DUS,520000.0,2340000.0,PAK SUPRI,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,427,2020-04-13,MANTUL-001,MANTUL BAKSO IKAN 500 GR X 20 PACK,1.0,DUS,334000.0,317300.0,RAISYA FROZEN,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
A01,428,2020-04-13,MANTUL-002,MANTUL BAKSO IKAN RASA UDANG 500 GR X 20,1.0,DUS,334000.0,317300.0,RAISYA FROZEN,1,aritmetika,info,Diskon wajar: JUMLAH = 80%-100% dari QTY x HARGA,perbaiki,Sah. Pakai JUMLAH (bukan QTY x HARGA) sebagai nilai omzet.
