BARIS_ASLI,TGL,BULAN,HARI,KODE,NAMA_BARANG,BRAND,QTY,SATUAN,HARGA,HARGA_EFEKTIF,OMZET,RASIO,PELANGGAN,SUMBER_HARGA,TINGKAT_TERTINGGI,SKOR_ANOMALI,FLAG
2,2020-04-01,2020-04-01,Wednesday,JOF-022,JOFRANS NUGGET AYAM REG. 225 GR X 24 PAK,JOFRANS,1.0,DUS,240000.0,240000.0,240000.0,1.0,TOKO SALMAINI HABABAHAN,asli,bersih,0,
3,2020-04-01,2020-04-01,Wednesday,JOF-002,JOFRANS NUGGET AYAM REG. 500 GR X 12 PAK,JOFRANS,1.0,DUS,216000.0,216000.0,216000.0,1.0,TOKO SALMAINI HABABAHAN,asli,bersih,0,
4,2020-04-01,2020-04-01,Wednesday,OKEY-003,OKEY STICK 500 GR X 10 PACK,OKEY,1.0,DUS,190000.0,190000.0,190000.0,1.0,TOKO SALMAINI HABABAHAN,asli,bersih,0,
5,2020-04-01,2020-04-01,Wednesday,OKEY-001,OKEY SOSIS 500 GR X 20 PACK,OKEY,1.0,DUS,380000.0,380000.0,380000.0,1.0,TOKO SALMAINI HABABAHAN,asli,bersih,0,
6,2020-04-01,2020-04-01,Wednesday,BLF-001,BELFOODS SOSIS AYAM 500 GR X 12 PACK,BELFOODS,1.0,DUS,204000.0,204000.0,204000.0,1.0,TOKO SALMAINI HABABAHAN,asli,bersih,0,
7,2020-04-01,2020-04-01,Wednesday,MIT-018,MITRAKU BAKSO IKAN ISI TUNA 500 GR X 20,MITRAKU,6.0,PACK,28000.0,28000.0,168000.0,1.0,TOKO SALMAINI HABABAHAN,asli,bersih,0,
8,2020-04-01,2020-04-01,Wednesday,JUL-002,KENTANG 500 GR,KENTANG,10.0,BKS,15000.0,15000.0,150000.0,1.0,TOKO SALMAINI HABABAHAN,asli,bersih,0,
9,2020-04-01,2020-04-01,Wednesday,JOF-022,JOFRANS NUGGET AYAM REG. 225 GR X 24 PAK,JOFRANS,1.0,DUS,240000.0,240000.0,240000.0,1.0,TOKO TERANG JAYA,asli,bersih,0,
10,2020-04-01,2020-04-01,Wednesday,JOF-002,JOFRANS NUGGET AYAM REG. 500 GR X 12 PAK,JOFRANS,1.0,DUS,216000.0,216000.0,216000.0,1.0,TOKO TERANG JAYA,asli,bersih,0,
11,2020-04-01,2020-04-01,Wednesday,OKEY-003,OKEY STICK 500 GR X 10 PACK,OKEY,1.0,DUS,195000.0,195000.0,195000.0,1.0,TOKO TERANG JAYA,asli,bersih,0,
